model,train_ratio,reduction_train,reduction_test,f_score
DecisionTreeClassifier,0.5,0.0,0.0,0.5958222346838636
DecisionTreeClassifier,0.5,0.0,0.25,0.5753905564332104
DecisionTreeClassifier,0.5,0.0,0.5,0.5107826508359584
DecisionTreeClassifier,0.5,0.0,0.75,0.40888554216867473
DecisionTreeClassifier,0.5,0.0,0.99,0.03156146179401993
DecisionTreeClassifier,0.5,0.0,0.999,0.001763668430335097
DecisionTreeClassifier,0.5,0.25,0.0,0.5634701871463804
DecisionTreeClassifier,0.5,0.25,0.25,0.5479751915359359
DecisionTreeClassifier,0.5,0.25,0.5,0.4996252810392205
DecisionTreeClassifier,0.5,0.25,0.75,0.38114104595879555
DecisionTreeClassifier,0.5,0.25,0.99,0.04193254329990885
DecisionTreeClassifier,0.5,0.25,0.999,0.0037313432835820895
DecisionTreeClassifier,0.5,0.5,0.0,0.5643609711406321
DecisionTreeClassifier,0.5,0.5,0.25,0.5354207436399218
DecisionTreeClassifier,0.5,0.5,0.5,0.5050230790116752
DecisionTreeClassifier,0.5,0.5,0.75,0.4116350815337153
DecisionTreeClassifier,0.5,0.5,0.99,0.03214695752009185
DecisionTreeClassifier,0.5,0.5,0.999,0.0023923444976076554
DecisionTreeClassifier,0.5,0.75,0.0,0.518655462184874
DecisionTreeClassifier,0.5,0.75,0.25,0.49869109947643975
DecisionTreeClassifier,0.5,0.75,0.5,0.4721189591078067
DecisionTreeClassifier,0.5,0.75,0.75,0.40209973753280837
DecisionTreeClassifier,0.5,0.75,0.99,0.058319039451114926
DecisionTreeClassifier,0.5,0.75,0.999,0.0
DecisionTreeClassifier,0.5,0.99,0.0,0.03311590566984446
DecisionTreeClassifier,0.5,0.99,0.25,0.04118233145134507
DecisionTreeClassifier,0.5,0.99,0.5,0.033797216699801194
DecisionTreeClassifier,0.5,0.99,0.75,0.037037037037037035
DecisionTreeClassifier,0.5,0.99,0.99,0.0
DecisionTreeClassifier,0.5,0.99,0.999,0.0
DecisionTreeClassifier,0.5,0.999,0.0,0.015808261091279956
DecisionTreeClassifier,0.5,0.999,0.25,0.00887372013651877
DecisionTreeClassifier,0.5,0.999,0.5,0.010230179028132991
DecisionTreeClassifier,0.5,0.999,0.75,0.010214504596527068
DecisionTreeClassifier,0.5,0.999,0.99,0.046511627906976744
DecisionTreeClassifier,0.5,0.999,0.999,0.28571428571428575
DecisionTreeClassifier,0.75,0.0,0.0,0.593689986282579
DecisionTreeClassifier,0.75,0.0,0.25,0.5762829403606101
DecisionTreeClassifier,0.75,0.0,0.5,0.5265151515151516
DecisionTreeClassifier,0.75,0.0,0.75,0.39364118092354283
DecisionTreeClassifier,0.75,0.0,0.99,0.045454545454545456
DecisionTreeClassifier,0.75,0.0,0.999,0.003656307129798903
DecisionTreeClassifier,0.75,0.25,0.0,0.5833571632828138
DecisionTreeClassifier,0.75,0.25,0.25,0.5524296675191815
DecisionTreeClassifier,0.75,0.25,0.5,0.49923273657289
DecisionTreeClassifier,0.75,0.25,0.75,0.41161825726141077
DecisionTreeClassifier,0.75,0.25,0.99,0.03571428571428572
DecisionTreeClassifier,0.75,0.25,0.999,0.00411522633744856
DecisionTreeClassifier,0.75,0.5,0.0,0.554224086279209
DecisionTreeClassifier,0.75,0.5,0.25,0.5197827773467805
DecisionTreeClassifier,0.75,0.5,0.5,0.49785867237687365
DecisionTreeClassifier,0.75,0.5,0.75,0.4083769633507853
DecisionTreeClassifier,0.75,0.5,0.99,0.04662004662004662
DecisionTreeClassifier,0.75,0.5,0.999,0.004866180048661801
DecisionTreeClassifier,0.75,0.75,0.0,0.51426697277796
DecisionTreeClassifier,0.75,0.75,0.25,0.4980611805256356
DecisionTreeClassifier,0.75,0.75,0.5,0.46751669702489373
DecisionTreeClassifier,0.75,0.75,0.75,0.4167539267015707
DecisionTreeClassifier,0.75,0.75,0.99,0.0472972972972973
DecisionTreeClassifier,0.75,0.75,0.999,0.0
DecisionTreeClassifier,0.75,0.99,0.0,0.12005583992554676
DecisionTreeClassifier,0.75,0.99,0.25,0.09165097300690521
DecisionTreeClassifier,0.75,0.99,0.5,0.11317254174397032
DecisionTreeClassifier,0.75,0.99,0.75,0.08103130755064457
DecisionTreeClassifier,0.75,0.99,0.99,0.09523809523809525
DecisionTreeClassifier,0.75,0.99,0.999,0.07142857142857142
DecisionTreeClassifier,0.75,0.999,0.0,0.0
DecisionTreeClassifier,0.75,0.999,0.25,0.0
DecisionTreeClassifier,0.75,0.999,0.5,0.0
DecisionTreeClassifier,0.75,0.999,0.75,0.0
DecisionTreeClassifier,0.75,0.999,0.99,0.0
DecisionTreeClassifier,0.75,0.999,0.999,0.0
DecisionTreeClassifier,0.9,0.0,0.0,0.5948575399583044
DecisionTreeClassifier,0.9,0.0,0.25,0.5893470790378008
DecisionTreeClassifier,0.9,0.0,0.5,0.5348837209302325
DecisionTreeClassifier,0.9,0.0,0.75,0.43151969981238275
DecisionTreeClassifier,0.9,0.0,0.99,0.034482758620689655
DecisionTreeClassifier,0.9,0.0,0.999,0.0
DecisionTreeClassifier,0.9,0.25,0.0,0.5830903790087463
DecisionTreeClassifier,0.9,0.25,0.25,0.5733082706766917
DecisionTreeClassifier,0.9,0.25,0.5,0.5254901960784313
DecisionTreeClassifier,0.9,0.25,0.75,0.4439746300211416
DecisionTreeClassifier,0.9,0.25,0.99,0.011428571428571427
DecisionTreeClassifier,0.9,0.25,0.999,0.0
DecisionTreeClassifier,0.9,0.5,0.0,0.5877128053293856
DecisionTreeClassifier,0.9,0.5,0.25,0.5606060606060607
DecisionTreeClassifier,0.9,0.5,0.5,0.5192052980132451
DecisionTreeClassifier,0.9,0.5,0.75,0.42307692307692313
DecisionTreeClassifier,0.9,0.5,0.99,0.011494252873563218
DecisionTreeClassifier,0.9,0.5,0.999,0.0
DecisionTreeClassifier,0.9,0.75,0.0,0.5226710634789777
DecisionTreeClassifier,0.9,0.75,0.25,0.5074946466809421
DecisionTreeClassifier,0.9,0.75,0.5,0.4763358778625954
DecisionTreeClassifier,0.9,0.75,0.75,0.35616438356164387
DecisionTreeClassifier,0.9,0.75,0.99,0.055045871559633024
DecisionTreeClassifier,0.9,0.75,0.999,0.0
DecisionTreeClassifier,0.9,0.99,0.0,0.06053268765133171
DecisionTreeClassifier,0.9,0.99,0.25,0.07667731629392971
DecisionTreeClassifier,0.9,0.99,0.5,0.057831325301204814
DecisionTreeClassifier,0.9,0.99,0.75,0.08530805687203792
DecisionTreeClassifier,0.9,0.99,0.99,0.0
DecisionTreeClassifier,0.9,0.99,0.999,0.0
DecisionTreeClassifier,0.9,0.999,0.0,0.0
DecisionTreeClassifier,0.9,0.999,0.25,0.0033444816053511705
DecisionTreeClassifier,0.9,0.999,0.5,0.0
DecisionTreeClassifier,0.9,0.999,0.75,0.0
DecisionTreeClassifier,0.9,0.999,0.99,0.0
DecisionTreeClassifier,0.9,0.999,0.999,0.0
GaussianNB,0.5,0.0,0.0,0.622420072845002
GaussianNB,0.5,0.0,0.25,0.5683797375199313
GaussianNB,0.5,0.0,0.5,0.48465971032549454
GaussianNB,0.5,0.0,0.75,0.3283966516419833
GaussianNB,0.5,0.0,0.99,0.021383227530905446
GaussianNB,0.5,0.0,0.999,0.0006832934745473181
GaussianNB,0.5,0.25,0.0,0.6263039476375537
GaussianNB,0.5,0.25,0.25,0.5759266146027024
GaussianNB,0.5,0.25,0.5,0.4869234427009035
GaussianNB,0.5,0.25,0.75,0.34010041475660335
GaussianNB,0.5,0.25,0.99,0.020013802622498276
GaussianNB,0.5,0.25,0.999,0.0021149101163200567
GaussianNB,0.5,0.5,0.0,0.6286425386290574
GaussianNB,0.5,0.5,0.25,0.5743174924165824
GaussianNB,0.5,0.5,0.5,0.4831059129304743
GaussianNB,0.5,0.5,0.75,0.33648223121907334
GaussianNB,0.5,0.5,0.99,0.019340974212034383
GaussianNB,0.5,0.5,0.999,0.0007323324789454413
GaussianNB,0.5,0.75,0.0,0.6219969589457679
GaussianNB,0.5,0.75,0.25,0.5724788628844504
GaussianNB,0.5,0.75,0.5,0.4826508283838699
GaussianNB,0.5,0.75,0.75,0.3295332329533233
GaussianNB,0.5,0.75,0.99,0.020798389802079837
GaussianNB,0.5,0.75,0.999,0.0013712718546451835
GaussianNB,0.5,0.99,0.0,0.5648518815052043
GaussianNB,0.5,0.99,0.25,0.508662175168431
GaussianNB,0.5,0.99,0.5,0.4331534772182254
GaussianNB,0.5,0.99,0.75,0.29041976300461936
GaussianNB,0.5,0.99,0.99,0.015527022991937891
GaussianNB,0.5,0.99,0.999,0.0006080875646093037
GaussianNB,0.5,0.999,0.0,0.49891907134129154
GaussianNB,0.5,0.999,0.25,0.4389538119087368
GaussianNB,0.5,0.999,0.5,0.3577058983419408
GaussianNB,0.5,0.999,0.75,0.23217709604322817
GaussianNB,0.5,0.999,0.99,0.012487992315081652
GaussianNB,0.5,0.999,0.999,0.0014612761811982466
GaussianNB,0.75,0.0,0.0,0.6332389809947432
GaussianNB,0.75,0.0,0.25,0.5714285714285714
GaussianNB,0.75,0.0,0.5,0.49589387239418825
GaussianNB,0.75,0.0,0.75,0.3412698412698413
GaussianNB,0.75,0.0,0.99,0.019787985865724382
GaussianNB,0.75,0.0,0.999,0.0014450867052023123
GaussianNB,0.75,0.25,0.0,0.6226987659316205
GaussianNB,0.75,0.25,0.25,0.56981039152918
GaussianNB,0.75,0.25,0.5,0.4783296425181904
GaussianNB,0.75,0.25,0.75,0.3260105448154657
GaussianNB,0.75,0.25,0.99,0.019457956914523976
GaussianNB,0.75,0.25,0.999,0.0014204545454545455
GaussianNB,0.75,0.5,0.0,0.6263273893007413
GaussianNB,0.75,0.5,0.25,0.5671641791044776
GaussianNB,0.75,0.5,0.5,0.487546699875467
GaussianNB,0.75,0.5,0.75,0.31895424836601305
GaussianNB,0.75,0.5,0.99,0.020491803278688523
GaussianNB,0.75,0.5,0.999,0.0013966480446927373
GaussianNB,0.75,0.75,0.0,0.6270226537216828
GaussianNB,0.75,0.75,0.25,0.5719220330619293
GaussianNB,0.75,0.75,0.5,0.48177496038034867
GaussianNB,0.75,0.75,0.75,0.34714348015699953
GaussianNB,0.75,0.75,0.99,0.020979020979020976
GaussianNB,0.75,0.75,0.999,0.001430615164520744
GaussianNB,0.75,0.99,0.0,0.6204444444444445
GaussianNB,0.75,0.99,0.25,0.5969827586206896
GaussianNB,0.75,0.99,0.5,0.49803781662504454
GaussianNB,0.75,0.99,0.75,0.37468354430379747
GaussianNB,0.75,0.99,0.99,0.02631578947368421
GaussianNB,0.75,0.99,0.999,0.0018050541516245486
GaussianNB,0.75,0.999,0.0,0.4528853177501826
GaussianNB,0.75,0.999,0.25,0.39622236531444516
GaussianNB,0.75,0.999,0.5,0.31625487646293887
