model_name,reduction_train,reduction_test,train_ratio,f1-test,f1-train
DecisionTree,0.0,0.0,0.5,0.9972677595628414,0.9999731296922275
DecisionTree,0.0,0.0,0.75,0.9971509971509971,0.999873398067529
DecisionTree,0.0,0.0,0.9,0.9982195845697329,0.9998954962881278
DecisionTree,0.0,0.25,0.5,0.9970716201521963,0.9999731296922275
DecisionTree,0.0,0.25,0.75,0.9973122529644267,0.999873398067529
DecisionTree,0.0,0.25,0.9,0.9972299168975068,0.9998954962881278
DecisionTree,0.0,0.5,0.5,0.9957275100878235,0.9999731296922275
DecisionTree,0.0,0.5,0.75,0.9952584163110479,0.999873398067529
DecisionTree,0.0,0.5,0.9,0.9958456973293768,0.9998954962881278
DecisionTree,0.0,0.75,0.5,0.9928943628612033,0.9999731296922275
DecisionTree,0.0,0.75,0.75,0.9914853358561967,0.999873398067529
DecisionTree,0.0,0.75,0.9,0.9940828402366864,0.9998954962881278
DecisionTree,0.0,0.99,0.5,0.8842105263157896,0.9999731296922275
DecisionTree,0.0,0.99,0.75,0.8571428571428571,0.999873398067529
DecisionTree,0.0,0.99,0.9,0.888888888888889,0.9998954962881278
DecisionTree,0.0,0.999,0.5,0.4210526315789474,0.9999731296922275
DecisionTree,0.0,0.999,0.75,0.3636363636363636,0.999873398067529
DecisionTree,0.0,0.999,0.9,0.33333333333333337,0.9998954962881278
DeepLog,0.0,0.0,0.5,0.82089,0.0
DeepLog,0.0,0.0,0.75,0.7061499999999999,0.0
DeepLog,0.0,0.0,0.9,0.75332,0.0
DeepLog,0.0,0.25,0.5,0.8253100000000001,0.0
DeepLog,0.0,0.25,0.75,0.70317,0.0
DeepLog,0.0,0.25,0.9,0.77169,0.0
DeepLog,0.0,0.5,0.5,0.8280500000000001,0.0
DeepLog,0.0,0.5,0.75,0.6953600000000001,0.0
DeepLog,0.0,0.5,0.9,0.76676,0.0
DeepLog,0.0,0.75,0.5,0.82525,0.0
DeepLog,0.0,0.75,0.75,0.6883400000000001,0.0
DeepLog,0.0,0.75,0.9,0.7536700000000001,0.0
DeepLog,0.0,0.99,0.5,0.72414,0.0
DeepLog,0.0,0.99,0.75,0.6279100000000001,0.0
DeepLog,0.0,0.99,0.9,0.6206900000000001,0.0
DeepLog,0.0,0.9990000000000001,0.5,0.20513,0.0
DeepLog,0.0,0.9990000000000001,0.75,0.09091,0.0
DeepLog,0.0,0.9990000000000001,0.9,0.33333,0.0
InvariantsMiner,0.0,0.0,0.5,0.6462819408555842,0.6387843704775688
InvariantsMiner,0.0,0.0,0.75,0.739740676380163,0.7512492813868129
InvariantsMiner,0.0,0.0,0.9,0.792085630879014,0.7822219033611938
InvariantsMiner,0.0,0.25,0.5,0.6331405112894196,0.6387843704775688
InvariantsMiner,0.0,0.25,0.75,0.7294811730001735,0.7512492813868129
InvariantsMiner,0.0,0.25,0.9,0.7900923593618806,0.7822219033611938
InvariantsMiner,0.0,0.5,0.5,0.6076287009869298,0.6387843704775688
InvariantsMiner,0.0,0.5,0.75,0.6912465512916981,0.7512492813868129
InvariantsMiner,0.0,0.5,0.9,0.7666263603385731,0.7822219033611938
InvariantsMiner,0.0,0.75,0.5,0.5257927117841931,0.6387843704775688
InvariantsMiner,0.0,0.75,0.75,0.6113342257920571,0.7512492813868129
InvariantsMiner,0.0,0.75,0.9,0.679162072767365,0.7822219033611938
InvariantsMiner,0.0,0.99,0.5,0.07387862796833773,0.6387843704775688
InvariantsMiner,0.0,0.99,0.75,0.09090909090909091,0.7512492813868129
InvariantsMiner,0.0,0.99,0.9,0.13461538461538464,0.7822219033611938
InvariantsMiner,0.0,0.999,0.5,0.007820136852394915,0.6387843704775688
InvariantsMiner,0.0,0.999,0.75,0.011741682974559686,0.7512492813868129
InvariantsMiner,0.0,0.999,0.9,0.0,0.7822219033611938
IsolationForest,0.0,0.0,0.5,0.8042817033224147,0.8000469449131089
IsolationForest,0.0,0.0,0.75,0.7991045127842584,0.7977528089887639
IsolationForest,0.0,0.0,0.9,0.8047882136279927,0.8149906392083444
IsolationForest,0.0,0.25,0.5,0.7754978877489438,0.8000469449131089
IsolationForest,0.0,0.25,0.75,0.7824122873061286,0.7977528089887639
IsolationForest,0.0,0.25,0.9,0.7859984089101034,0.8149906392083444
IsolationForest,0.0,0.5,0.5,0.7252677340684975,0.8000469449131089
IsolationForest,0.0,0.5,0.75,0.7277754147171417,0.7977528089887639
IsolationForest,0.0,0.5,0.9,0.7535250987027635,0.8149906392083444
IsolationForest,0.0,0.75,0.5,0.6116936200462059,0.8000469449131089
IsolationForest,0.0,0.75,0.75,0.6127415891195419,0.7977528089887639
IsolationForest,0.0,0.75,0.9,0.6548672566371682,0.8149906392083444
IsolationForest,0.0,0.99,0.5,0.07354443309499491,0.8000469449131089
IsolationForest,0.0,0.99,0.75,0.07468879668049792,0.7977528089887639
IsolationForest,0.0,0.99,0.9,0.07586206896551724,0.8149906392083444
IsolationForest,0.0,0.999,0.5,0.006607929515418502,0.8000469449131089
IsolationForest,0.0,0.999,0.75,0.006718924972004479,0.7977528089887639
IsolationForest,0.0,0.999,0.9,0.007547169811320754,0.8149906392083444
LR,0.0,0.0,0.5,0.977968958902517,0.9994449736093903
LR,0.0,0.0,0.75,0.9794114225892753,0.9993363824728586
LR,0.0,0.0,0.9,0.983644859813084,0.9992450292787394
LR,0.0,0.25,0.5,0.9711471878125721,0.9994449736093903
LR,0.0,0.25,0.75,0.9727314743490988,0.9993363824728586
LR,0.0,0.25,0.9,0.9783113865220759,0.9992450292787394
LR,0.0,0.5,0.5,0.9572046437514228,0.9994449736093903
LR,0.0,0.5,0.75,0.9596535217688625,0.9993363824728586
LR,0.0,0.5,0.9,0.967816091954023,0.9992450292787394
LR,0.0,0.75,0.5,0.9180686038890102,0.9994449736093903
LR,0.0,0.75,0.75,0.9224024550635687,0.9993363824728586
LR,0.0,0.75,0.9,0.9376391982182628,0.9992450292787394
LR,0.0,0.99,0.5,0.3111111111111111,0.9994449736093903
LR,0.0,0.99,0.75,0.3218390804597701,0.9993363824728586
LR,0.0,0.99,0.9,0.3636363636363636,0.9992450292787394
LR,0.0,0.999,0.5,0.041237113402061855,0.9994449736093903
LR,0.0,0.999,0.75,0.043243243243243246,0.9993363824728586
LR,0.0,0.999,0.9,0.034482758620689655,0.9992450292787394
LogClustering,0.0,0.0,0.5,0.8234426244363119,0.8340260532862314
LogClustering,0.0,0.0,0.75,0.8268078584366727,0.8228384991843393
LogClustering,0.0,0.0,0.9,0.8203152364273205,0.8253168481841789
LogClustering,0.0,0.25,0.5,0.8288406806568,0.8340260532862314
LogClustering,0.0,0.25,0.75,0.8113704819277109,0.8228384991843393
LogClustering,0.0,0.25,0.9,0.8112941176470588,0.8253168481841789
LogClustering,0.0,0.5,0.5,0.8294716229948633,0.8340260532862314
LogClustering,0.0,0.5,0.75,0.826644370122631,0.8228384991843393
LogClustering,0.0,0.5,0.9,0.7988587731811697,0.8253168481841789
LogClustering,0.0,0.75,0.5,0.8269743222983663,0.8340260532862314
LogClustering,0.0,0.75,0.75,0.8166479190101237,0.8228384991843393
LogClustering,0.0,0.75,0.9,0.8157524613220815,0.8253168481841789
LogClustering,0.0,0.99,0.5,0.8372449468339879,0.8340260532862314
LogClustering,0.0,0.99,0.75,0.8493150684931507,0.8228384991843393
LogClustering,0.0,0.99,0.9,0.72,0.8253168481841789
LogClustering,0.0,0.999,0.5,0.9333333333333333,0.8340260532862314
LogClustering,0.0,0.999,0.75,0.6666666666666666,0.8228384991843393
LogClustering,0.0,0.999,0.9,1.0,0.8253168481841789
PCA,0.0,0.0,0.5,0.7709096130375476,0.7716931027058064
PCA,0.0,0.0,0.75,0.7750894774516822,0.7740857442948533
PCA,0.0,0.0,0.9,0.7957597173144876,0.7673358393985444
PCA,0.0,0.25,0.5,0.7754908470074932,0.7716931027058064
PCA,0.0,0.25,0.75,0.7648410570662583,0.7740857442948533
PCA,0.0,0.25,0.9,0.807066480706648,0.7673358393985444
PCA,0.0,0.5,0.5,0.7523304173239638,0.7716931027058064
PCA,0.0,0.5,0.75,0.7618233618233619,0.7740857442948533
PCA,0.0,0.5,0.9,0.7994428969359331,0.7673358393985444
PCA,0.0,0.75,0.5,0.7520844913841024,0.7716931027058064
PCA,0.0,0.75,0.75,0.754863813229572,0.7740857442948533
PCA,0.0,0.75,0.9,0.7732962447844228,0.7673358393985444
PCA,0.0,0.99,0.5,0.35766423357664234,0.7716931027058064
PCA,0.0,0.99,0.75,0.3333333333333333,0.7740857442948533
PCA,0.0,0.99,0.9,0.43478260869565216,0.7673358393985444
PCA,0.0,0.999,0.5,0.07741935483870967,0.7716931027058064
PCA,0.0,0.999,0.75,0.05405405405405405,0.7740857442948533
PCA,0.0,0.999,0.9,0.0909090909090909,0.7673358393985444
SVM,0.0,0.0,0.5,0.9430347959048234,0.9982448251404386
SVM,0.0,0.0,0.75,0.9432862586863932,0.9979681195089146
SVM,0.0,0.0,0.9,0.94950634696756,0.9981462164337018
SVM,0.0,0.25,0.5,0.925490227157209,0.998191077481771
SVM,0.0,0.25,0.75,0.9258064516129032,0.9981353693256333
SVM,0.0,0.25,0.9,0.9329877823028508,0.9979331780567104
SVM,0.0,0.5,0.5,0.8921870431809494,0.9982448251404386
SVM,0.0,0.5,0.75,0.8930844293593552,0.9979681195089146
SVM,0.0,0.5,0.9,0.9044038668098818,0.9979341696683641
SVM,0.0,0.75,0.5,0.8050904110291384,0.9980289154880055
SVM,0.0,0.75,0.75,0.8064392487543119,0.9981353693256333
SVM,0.0,0.75,0.9,0.8243375858684985,0.9980008783417227
SVM,0.0,0.99,0.5,0.14165261382799324,0.9980262261768418
SVM,0.0,0.99,0.75,0.14261460101867574,0.9980410088506337
SVM,0.0,0.99,0.9,0.1523809523809524,0.9981462164337018
SVM,0.0,0.999,0.5,0.015473887814313345,0.998177668978297
SVM,0.0,0.999,0.75,0.015625,0.9981759787125986
SVM,0.0,0.999,0.9,0.011111111111111112,0.9979341696683641
random_anomaly_perc,0.0,0.0,0.5,0.029189189189189186,0.029385521384807566
random_anomaly_perc,0.0,0.0,0.75,0.030532544378698227,0.03034699078612037
random_anomaly_perc,0.0,0.0,0.9,0.033077377436503255,0.03189351256960232
random_anomaly_perc,0.0,0.25,0.5,0.024426855895196508,0.030129379098481717
random_anomaly_perc,0.0,0.25,0.75,0.026971239851382965,0.02834990993813141
