model,train_ratio,reduction_test,f_score
AdaBoostClassifier,0.5,0.0,0.8326196513096032
AdaBoostClassifier,0.5,0.25,0.7775392541532955
AdaBoostClassifier,0.5,0.5,0.7175680052319261
AdaBoostClassifier,0.5,0.75,0.5871988826206633
AdaBoostClassifier,0.5,0.9,0.3953489676048322
AdaBoostClassifier,0.5,0.99,0.06516246710090313
AdaBoostClassifier,0.5,0.999,0.0
AdaBoostClassifier,0.75,0.0,0.7993049826124761
AdaBoostClassifier,0.75,0.25,0.7641735257067778
AdaBoostClassifier,0.75,0.5,0.6985437119276403
AdaBoostClassifier,0.75,0.75,0.5481330523409073
AdaBoostClassifier,0.75,0.9,0.3582994140493784
AdaBoostClassifier,0.75,0.99,0.05242586716899696
AdaBoostClassifier,0.75,0.999,0.0
AdaBoostClassifier,0.9,0.0,0.8000051551718608
AdaBoostClassifier,0.9,0.25,0.7438594185013289
AdaBoostClassifier,0.9,0.5,0.6817352350301326
AdaBoostClassifier,0.9,0.75,0.5399479425586619
AdaBoostClassifier,0.9,0.9,0.33553013658002173
AdaBoostClassifier,0.9,0.99,0.03404423491884793
AdaBoostClassifier,0.9,0.999,0.0
Birch,0.5,0.0,0.28981817751277483
Birch,0.5,0.25,0.14898432159606306
Birch,0.5,0.5,0.13233463852467614
Birch,0.5,0.75,0.1124572763454887
Birch,0.5,0.9,0.08511720326473209
Birch,0.5,0.99,0.02331674212974526
Birch,0.5,0.999,0.0
Birch,0.75,0.0,0.2162454313916214
Birch,0.75,0.25,0.1970942553751261
Birch,0.75,0.5,0.16808957640878752
Birch,0.75,0.75,0.13610772957125256
Birch,0.75,0.9,0.09589393996137836
Birch,0.75,0.99,0.02821498346857344
Birch,0.75,0.999,0.0
Birch,0.9,0.0,0.11437294344074005
Birch,0.9,0.25,0.11339160638224535
Birch,0.9,0.5,0.1055521826117175
Birch,0.9,0.75,0.09336632466070713
Birch,0.9,0.9,0.07722499788138995
Birch,0.9,0.99,0.02222222222222222
Birch,0.9,0.999,0.0
